"type","max_tratime","min_tratime","ave_tratime","sd_tratime","max_income","min_income","ave_income","sd_income","max_poverty","min_poverty","ave_poverty","sd_poverty","max_popden","min_popden","ave_popden","sd_popden","max_rateveh","min_rateveh","ave_rateveh","sd_rateveh","max_pernwhite","min_pernwhite","ave_pernwhite","sd_pernwhite"
"DTD",34.07984375,7.56428571428571,11.9727114615035,5.16254167483561,89537,12565,43907.9732142857,14891.0073845662,0.680398959236774,0.111549851924975,0.263941238719951,0.138592985508238,26253.1441397084,19.548730791639,4353.4182682446,4616.77331240172,0.995604395604396,0.476688867745005,0.874923031747413,0.0959108420884838,0.894490457328052,0.00715929429813345,0.351195605885751,0.285653939039793
"DTO",27.379802955665,2.1675,7.33241495649743,4.02557091722276,189531,16528,75404.8710691824,33821.1909503314,0.564002828854314,0,0.112301653363808,0.10234251873964,13347.8108394157,31.9407688193775,3252.68329955209,2701.5516987806,1,0.120967741935484,0.939367266554517,0.0769432680401543,0.904503105590062,0.00451722190852621,0.240557846980832,0.230402234978645
